Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,correct,outlier_features,uuid,algorithm
00350061,700020.0,,0.0,0.0,0,0,F,,208,208.0,Z003,Z9,3110.0,1855,0.5964630225080386,1000,,2800,,5300014896.0,0.0,1,28,140200000,ST,,,55e4fa759b234154bff914fb0774de27,XGBOD
33336200,701528.0,4600003806.0,10.0,28.0,0,0,F,40.0,233,233.0,Z011,Y4,0.0,0,0,1,E15,2100,,5300094401.0,0.0,1,3,060100000,ST,,,ab166f959ba44a19856dd1e99bd75322,"XGBOD, RoSAS"
00370645,700020.0,5500005889.0,10.0,13.0,13,60,F,,708,708.0,Z011,X4,500.0,862,1.724,100,E20,2100,,5300068290.0,0.0,1,13,140100000,ST,,,0c69f900f5674343b4c584a966449ab5,XGBOD
00170006,700585.0,5500007083.0,10.0,14.0,14,182,F,,203,203.0,Z010,Y5,2260.0,23386,10.347787610619468,100,E14,2000,,5300015821.0,0.0,1,14,060200000,ST,,,bc54ed3875f54be4b6f164418f25b451,XGBOD
33619002,701528.0,5500008613.0,10.0,14.0,14,56,F,,233,233.0,Z011,Y9,6460.0,403427,62.45,1,E13,2100,,5300091828.0,0.0,1,140,060100000,ST,,,992ac8f92e1045aa94811e44119d3f4f,"XGBOD, RoSAS"
60069941,700230.0,,0.0,0.0,0,0,F,,216,216.0,Z001,Z1,280.0,576605,2059.3035714285716,1,,2000,,5300459938.0,0.0,1,999,550100000,ST,,,c44611455e4649029cb38da3b2d6c667,RoSAS
21336201,701710.0,,0.0,0.0,0,0,F,,231,231.0,Z008,Y4,0.0,0,0,1,E14,2000,,5300150022.0,0.0,1,43,100201000,ST,,,24629be061b14db78c5af28e586ed4b6,RoSAS
00390878,2000.0,,0.0,0.0,0,0,F,40.0,206,206.0,Z003,U0,140.0,595,4.25,100,,2800,2100.0,5300062681.0,0.0,1,42,530300000,ST,,,c239bd5cefcc4299a67f0c35e0d76e59,XGBOD
34662800UB,704926.0,4600007774.0,10.0,14.0,0,0,F,30.0,223,223.0,Z001,Z6,0.0,0,0,1,,2000,,5300157909.0,3.0,1,14,010403000,ST,,,4837530886ba447e80c4d303cd66527c,"XGBOD, RoSAS"
34069403,716255.0,4600012749.0,10.0,56.0,0,0,F,,233,233.0,Z011,Y9,2580.0,166398,64.4953488372093,100,E13,2000,,5300466671.0,0.0,1,28,060000000,ST,,,bee7f1267a3246d6b0a79a9c40ee38e2,"XGBOD, RoSAS"
00200077,700020.0,5500007463.0,10.0,4.0,4,60,F,,208,208.0,Z011,X4,9160.0,34015,3.7134279475982535,100,E20,2000,,5300173352.0,0.0,1,14,100202000,ST,,,9a75a95489924918b8928ca6d61cf2e7,"XGBOD, RoSAS"
95110360,718056.0,,0.0,0.0,0,0,F,,208,208.0,Z012,Z2,5680.0,2406733,423.7205985915493,1,,3000,,5300544653.0,2.0,1,360,090100000,ST,,,8c1a9a4cf2c546298e2e3c058dfdabb3,XGBOD
01504402,700230.0,5500007813.0,10.0,14.0,14,56,F,,215,215.0,Z001,Y4,660.0,65952,99.92727272727272,1,E14,3000,,5300030242.0,0.0,1,14,100202000,ST,,,5c43549cf1b94986abbd445700a50b37,"XGBOD, RoSAS"
35140100,715408.0,4600012454.0,10.0,42.0,0,0,F,30.0,223,223.0,Z004,TB,20.0,1159298,57964.9,1,,2000,,,,1,56,010403000,ST,,,f8cacd59348d4acb8a901c1b35e2c4a6,"XGBOD, RoSAS"
01507700,700000.0,4600012780.0,10.0,42.0,0,0,F,,223,223.0,Z001,X9,10.0,2439,243.9,1,E20,3000,,5300387098.0,0.0,1,14,550100000,ST,,,cfdadeb2965c47f3bf8d49642abeb84e,"XGBOD, RoSAS"
23471809,2100.0,,0.0,0.0,0,0,F,41.0,233,233.0,Z011,Y4,0.0,0,0,1,E13,2000,2901.0,5300197754.0,0.0,1,3,060100000,ST,,,f2c19126cf614e7da99dafac077111b3,XGBOD
00393418,704232.0,4600006868.0,20.0,28.0,0,0,F,,206,206.0,Z002,Z2,0.0,0,0,1,,2000,,5300063281.0,0.0,1,28,520300000,ST,,,cf0dc3e102834b038bc5273e7ebc25eb,"XGBOD, RoSAS"
00170124,2000.0,,0.0,0.0,0,0,F,40.0,206,206.0,Z003,Y4,660.0,35631,53.986363636363635,1,E12,2800,3000.0,5300180513.0,0.0,1,35,130403000,ST,,,5e3966df82f041ef8f48ac6fa95a467f,XGBOD
34071201,710155.0,,0.0,0.0,0,0,F,30.0,202,202.0,Z001,X1,0.0,0,0,1,,2100,,5300460734.0,3.0,1,28,040000000,ST,,,aaafb8df4fab422bbd04a42496532a36,"XGBOD, RoSAS"
95193471,703002.0,,0.0,0.0,0,0,F,,208,208.0,Z001,Z3,6630.0,4296022,647.9671191553545,1,,2000,,5300544461.0,0.0,1,42,110400000,ST,,,abfe7397c0124d8d88eb06f8ffacb900,XGBOD
28249700UB,2000.0,,0.0,0.0,0,0,F,40.0,216,216.0,Z012,Z1,0.0,0,0,1,,3000,3000.0,5300264840.0,0.0,1,999,010401000,ST,,,0a342dbe700f40f0b08e868c8be0069a,RoSAS
00360308,700020.0,5500002342.0,10.0,4.0,4,60,F,,708,708.0,Z011,X4,410.0,3414,8.326829268292682,100,E20,2100,,5300018463.0,0.0,1,4,140100000,ST,,,4389fc01c0e9480295cfeabd75be97db,XGBOD
01242503,701710.0,5500002261.0,20.0,14.0,14,42,F,,731,731.0,Z008,Y5,2250.0,123748,54.99911111111111,100,E14,2000,,5300126536.0,0.0,1,14,100202000,ST,,,0cc26e4ee43846a789cc065aec2e83b8,RoSAS
00371034,700020.0,5500005890.0,10.0,12.0,12,60,F,,708,708.0,Z011,X4,33920.0,49292,1.453183962264151,100,E20,2000,,5300117147.0,0.0,1,12,140100000,ST,,,46a6879a028e4f64a92fe5dbc7343220,XGBOD
00370111,701806.0,5500000353.0,10.0,4.0,4,60,F,,708,708.0,Z011,V5,9500.0,16545,1.7415789473684211,100,E98,2000,,5300174035.0,0.0,2,4,140300000,ST,,,9d50869f58134a7a9947bf582aac0b98,RoSAS
23754200UB,2000.0,,0.0,0.0,0,0,F,40.0,218,218.0,Z012,Z1,0.0,0,0,1,,3000,3000.0,5300237109.0,0.0,1,999,010402000,ST,,,bbc616a14180411a8bef3e3a16df4310,RoSAS
60021997,2100.0,,0.0,0.0,0,0,F,41.0,202,202.0,Z003,EX,30.0,2065,68.83333333333333,100,,2000,2000.0,5300373300.0,0.0,1,2,050400000,ST,,,35d36cd934e144ebab94423a834eb4ca,XGBOD
00341688,705960.0,,0.0,0.0,0,0,F,20.0,278,278.0,Z012,Z1,0.0,0,0,1,,3000,,5300459550.0,0.0,1,999,131200000,ST,,,89faba11dba94faa9bcc6b4b083843cc,XGBOD
00270873,701806.0,,0.0,0.0,0,0,F,,208,208.0,Z011,V4,190.0,2034,10.705263157894738,100,E98,3000,,5300362219.0,0.0,2,98,131400000,ST,,,8819514a846e4bbead588fc562b57825,XGBOD
00300241,700297.0,,0.0,0.0,0,0,F,,206,206.0,Z012,X1,100.0,394939,3949.39,1,,3000,,5300016775.0,0.0,1,60,110500000,ST,,,cc8a68f5186e4bc8b354d5fcf87b3b39,RoSAS
00311509,709032.0,4600008849.0,10.0,21.0,0,0,F,,208,208.0,Z001,Y2,0.0,0,0,1,E13,2100,,5300175732.0,0.0,1,21,110600000,ST,,,d50846cfa1aa4323a84d1ff336c1cf54,"XGBOD, RoSAS"
00360370,701806.0,,0.0,0.0,0,0,F,,208,208.0,Z008,X5,1000.0,4107,4.107,100,E99,2700,,5300174220.0,0.0,1,4,140100000,ST,,,b416285aa2d34601a6663b81ba4a720c,XGBOD
04005264,706943.0,,0.0,0.0,0,0,F,,208,208.0,Z001,Z7,0.0,0,0,1000,,2000,,,,1,45,140100000,ST,,,58327c882407405abdae3087b4f11a42,XGBOD
00370601,700020.0,5500002217.0,10.0,4.0,4,60,F,,708,708.0,Z011,X4,1700.0,1544,0.908235294117647,100,E20,2100,,5300060726.0,0.0,1,4,140100000,ST,,,3f4a9e7f62c9469c811b98c04d0cd375,XGBOD
00346731,2100.0,,0.0,0.0,0,0,F,41.0,215,215.0,Z011,Z5,38840.0,31087536,800.4,1,,2000,2000.0,5300197025.0,0.0,1,3,080800000,ST,,,0aa54037a78f437fa0aec9b4c860defe,"XGBOD, RoSAS"
60063712,708094.0,4600012627.0,10.0,42.0,0,0,F,,211,211.0,Z001,Y2,0.0,0,0,100,E15,2100,,5300429835.0,0.0,1,35,010301010,ST,,,9716c49ad19d458eb7ce21106fd413c8,RoSAS
00360650,701806.0,5500000377.0,10.0,4.0,4,60,F,,708,708.0,Z011,V5,3170.0,7897,2.491167192429022,100,E98,2000,,5300174063.0,0.0,2,4,140100000,ST,,,94165b0dcb7845c193940f9a783e02be,RoSAS
00370252,701806.0,5500000592.0,10.0,4.0,4,60,F,,708,708.0,Z011,V5,2030.0,12266,6.042364532019705,100,E98,2100,,5300174120.0,0.0,2,4,140300000,ST,,,7fbd389f2cde453e9089e9eee9436e89,RoSAS
00402040,703531.0,,0.0,0.0,0,0,F,40.0,215,215.0,Z009,Y6,0.0,0,0,1,E15,2100,,5300058134.0,0.0,1,3,080400000,ST,,,abb461481ccf448097d772f3cc81b824,XGBOD
00370268,700020.0,5500003460.0,10.0,4.0,4,60,F,,708,708.0,Z011,X4,29380.0,6106,0.20782845473110959,100,E20,2000,,5300002648.0,0.0,1,4,140300000,ST,,,bd297267e2c141968accfec556aa4002,XGBOD
28184504,700151.0,,0.0,0.0,0,0,F,,233,233.0,Z002,Z9,90.0,387,4.3,100,,2100,,5300496470.0,3.0,1,28,060100000,ST,,,6c13344cf1e0430aa1b0603c3069324f,XGBOD
01507802,701528.0,5500000685.0,20.0,28.0,28,56,F,,733,733.0,Z011,Y9,3460.0,102424,29.602312138728323,100,E15,2100,,5300076400.0,0.0,1,28,060100000,ST,,,d14bf1a62fe64a8e9cb24ea2f52a78de,XGBOD
60031376,700230.0,5500004580.0,10.0,14.0,14,56,F,,215,215.0,Z001,Y5,6990.0,557497,79.75636623748211,1,E14,2100,,5300393787.0,0.0,1,14,100202000,ST,,,e8a02144febe4f86bce1f3b4b1bcdfcd,"XGBOD, RoSAS"
00380127,701218.0,,0.0,0.0,0,0,F,,212,212.0,Z001,Y5,10.0,43771,4377.1,1,E11,3000,,5300091798.0,3.0,1,63,070100000,ST,,,aefaf898fa4d4c7abecf8427803c9e8b,RoSAS
95195444,2000.0,,0.0,0.0,0,0,F,40.0,216,216.0,Z012,Z1,0.0,0,0,1,,3000,3000.0,5300314464.0,0.0,1,999,010502000,ST,,,9ca4e0fca7324133a1284e1726454837,RoSAS
