Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,uuid,algorithm,correct
60063163,710155.0,5500009103.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,2260.0,45087,19.95,1,,2100,,5300507616.0,3.0,1,14,40100000,ST,d037855794fa4d629b23dcd40626bb31,"ECOD, COPOD",1
34069711,710155.0,5500008764.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,790.0,250272,316.8,1,,2000,,5300460732.0,3.0,1,14,40100000,ST,6e0fcb24ed504bc083025eb7e77c0762,"ECOD, COPOD",1
34063504,710155.0,5500009083.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,60.0,14568,242.8,1,,2000,,5300460747.0,3.0,1,14,40100000,ST,ca7895a051384e0485f8b8b18e1110e1,"ECOD, COPOD",1
34069202,710155.0,5500009102.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,5420.0,591864,109.2,1,,2100,,5300460742.0,3.0,1,14,40100000,ST,e38ed8953acc4c90a6d4305bec707239,"ECOD, COPOD",1
34071551,710155.0,5500009088.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1870.0,685729,366.7,1,,2000,,5300460735.0,3.0,1,14,40000000,ST,c9120e3f4f534caf8d7df49b726fdcd5,"ECOD, COPOD",1
34063502,710155.0,5500009081.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,Z0,20.0,423,21.15,1,,2000,,5300456269.0,3.0,1,14,40100000,ST,8e2b6f65bc2441029e30bf62788e2657,"ECOD, COPOD",1
34063506,710155.0,5500009099.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,5930.0,683136,115.2,1,,2100,,5300460738.0,3.0,1,14,40100000,ST,e71130a007cf46a4b47b19e0875507e0,"ECOD, COPOD",1
34069711,710155.0,5500008764.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,790.0,250272,316.8,1,,2000,,5300460732.0,3.0,1,14,40100000,ST,a3bc919a36c34c9e9b3a1c0f8fa80e62,"ECOD, COPOD",1
34069711,710155.0,5500009111.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z2,900.0,28512,31.68,1,,3000,,5300460732.0,3.0,1,14,40100000,ST,d1f98f40f3454aa1ae6dd57de780b803,"ECOD, COPOD",1
34067311,710155.0,5500009110.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z2,1520.0,502334,330.4828947368421,1,,3000,,5300460748.0,3.0,1,14,40100000,ST,6026e8f23e60480aaff30f90119ed784,"ECOD, COPOD",1
34063503,710155.0,5500009082.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,2600.0,135304,52.04,1,,2000,,5300460739.0,3.0,1,28,40100000,ST,466143f003bb4644bc414a9c297ea93f,"ECOD, COPOD",1
00311513,701306.0,5500007785.0,10.0,42.0,42,182,F,,702,702.0,Z001,Y5,11410.0,3013824,264.13882559158634,1,E13,3000,,5300387810.0,0.0,1,182,30202000,ST,a5afa890ec1244b983687dc1bac02f78,"ECOD, kNN, COPOD",1
01240800,710392.0,5500005904.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,1750.0,287148,164.08457142857142,1,E15,3000,,5300179975.0,0.0,1,168,550100000,ST,7ebf404f398e4df491e604c45ce871e7,"ECOD, COPOD",1
34071201,710155.0,5500009086.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,790.0,324374,410.6,1,,2000,,5300460734.0,3.0,1,28,40000000,ST,5b3100f453b543a68f177d5d604671f1,"ECOD, COPOD",1
34063504,710155.0,5500009097.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,210.0,50988,242.8,1,,2100,,5300460747.0,3.0,1,14,40100000,ST,8eb86b770f3b41489fc153583a5afdc1,"ECOD, COPOD",1
34071801,710155.0,5500009090.0,10.0,14.0,14,14,F,30.0,702,702.0,Z005,X1,3970.0,871562,219.53702770780856,1,,2000,,5300545548.0,3.0,1,14,10102000,ST,faf44a5f3f604d529a09499f3288ceef,"ECOD, kNN, COPOD, IForest",1
60029336,710392.0,5500005910.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,3790.0,62925,16.602902374670183,1,E15,3000,,5300383951.0,0.0,1,168,550100000,ST,54b72d4d165d4eebae07769da7b2c3ca,"ECOD, COPOD",1
34071001,710155.0,5500009085.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1620.0,263088,162.4,1,,2000,,5300460741.0,3.0,1,14,40000000,ST,3b267eeea8034c4e8445e4f22da12e14,"ECOD, COPOD",1
