Contract Position,Base unit,Product group,Procurement type,Total value,Material master time,Buyer,Contract,Fixed contract 1,Plant,Information record type,Total quantity,Material number,Purchasing group,Supplier,Price unit,Fulfillment time,Calendar,Special procurement type,Purchasing lot size,Plant information record,Information record number,Dispatcher,Fixed contract 2,anomaly
10.0,ST,40100000,F,250272,14,702.0,5500008764.0,14.0,2000,3.0,790.0,34069711,Z001,710155.0,1,14.0,,30.0,X1,,5300460732.0,702,14.0,1
10.0,ST,40100000,F,28512,14,702.0,5500009111.0,14.0,3000,3.0,900.0,34069711,Z010,710155.0,1,14.0,,30.0,Z2,,5300460732.0,702,14.0,1
10.0,ST,40100000,F,502334,14,702.0,5500009110.0,14.0,3000,3.0,1520.0,34067311,Z010,710155.0,1,14.0,,30.0,Z2,,5300460748.0,702,14.0,1
10.0,ST,40100000,F,135304,28,702.0,5500009082.0,28.0,2000,3.0,2600.0,34063503,Z001,710155.0,1,28.0,,30.0,X1,,5300460739.0,702,28.0,1
10.0,ST,30202000,F,3013824,182,702.0,5500007785.0,42.0,3000,0.0,11410.0,00311513,Z001,701306.0,1,42.0,E13,,Y5,,5300387810.0,702,182.0,1
10.0,ST,550100000,F,287148,168,702.0,5500005904.0,21.0,3000,0.0,1750.0,01240800,Z011,710392.0,1,21.0,E15,,Y5,,5300179975.0,702,168.0,1
10.0,ST,40000000,F,324374,28,702.0,5500009086.0,28.0,2000,3.0,790.0,34071201,Z001,710155.0,1,28.0,,30.0,X1,,5300460734.0,702,28.0,1
10.0,ST,40100000,F,50988,14,702.0,5500009097.0,14.0,2100,3.0,210.0,34063504,Z001,710155.0,1,14.0,,30.0,X1,,5300460747.0,702,14.0,1
10.0,ST,10102000,F,871562,14,702.0,5500009090.0,14.0,2000,3.0,3970.0,34071801,Z005,710155.0,1,14.0,,30.0,X1,,5300545548.0,702,14.0,1
10.0,ST,550100000,F,62925,168,702.0,5500005910.0,21.0,3000,0.0,3790.0,60029336,Z011,710392.0,1,21.0,E15,,Y5,,5300383951.0,702,168.0,1
10.0,ST,40000000,F,263088,14,702.0,5500009085.0,14.0,2000,3.0,1620.0,34071001,Z001,710155.0,1,14.0,,30.0,X1,,5300460741.0,702,14.0,1
10.0,ST,550100000,F,198078,168,702.0,5500005906.0,21.0,2100,0.0,1240.0,01240900,Z011,710392.0,1,21.0,E15,,Y5,,5300179976.0,702,168.0,1
10.0,ST,40000000,F,193309,14,702.0,5500008767.0,14.0,2000,3.0,610.0,34069811,Z001,710155.0,1,14.0,,30.0,X1,,5300460731.0,702,14.0,1
10.0,ST,40200000,F,1527025,28,702.0,5500008762.0,28.0,2100,3.0,4250.0,34069401,Z001,710155.0,1,28.0,,30.0,X1,,5300460733.0,702,28.0,1
10.0,ST,40100000,F,6318,14,702.0,5500009105.0,14.0,3000,3.0,450.0,34060803,Z010,710155.0,1,14.0,,30.0,Z2,,5300460746.0,702,14.0,1
10.0,ST,550100000,F,100917,168,702.0,5500005907.0,21.0,3000,0.0,630.0,01240900,Z011,710392.0,1,21.0,E15,,Y5,,5300179976.0,702,168.0,1
10.0,ST,40100000,F,301350,14,702.0,5500009098.0,14.0,2100,3.0,26250.0,34063505,Z001,710155.0,1,14.0,,30.0,X1,,5300460737.0,702,14.0,1
10.0,ST,30100000,F,636446,180,702.0,5500008423.0,14.0,2000,0.0,7480.0,00131098,Z011,707032.0,1,14.0,E11,,Y6,,5300465587.0,702,180.0,1
10.0,ST,40100000,F,79611,28,702.0,5500009092.0,28.0,2100,3.0,1020.0,34060814,Z001,710155.0,1,28.0,,30.0,X1,,5300462808.0,702,28.0,1
10.0,ST,40100000,F,1419165,14,702.0,5500009095.0,14.0,2100,3.0,6710.0,34063502,Z001,710155.0,1,14.0,,30.0,X1,,5300456269.0,702,14.0,1
10.0,ST,40000000,F,222109,14,702.0,5500009112.0,14.0,3000,3.0,700.0,34069811,Z010,710155.0,1,14.0,,30.0,Z2,,5300460731.0,702,14.0,1
10.0,ST,40100000,F,5106,28,702.0,5500009080.0,28.0,2000,3.0,10.0,34063501,Z001,710155.0,1,28.0,,30.0,X1,,5300456266.0,702,28.0,1
20.0,ST,10403000,F,436232,42,702.0,5500000007.0,12.0,2100,3.0,20.0,34638400,Z001,701318.0,1,12.0,E13,30.0,Y9,,5300067187.0,702,42.0,1
10.0,ST,40100000,F,942096,14,702.0,5500009100.0,14.0,2100,3.0,9120.0,34063507,Z001,710155.0,1,14.0,,30.0,X1,,5300456265.0,702,14.0,1
10.0,ST,40100000,F,37793,14,702.0,5500009107.0,14.0,3000,3.0,610.0,34060844,Z010,710155.0,1,14.0,,30.0,Z3,,5300547227.0,702,14.0,1
10.0,ST,40100000,F,28512,14,702.0,5500009111.0,14.0,3000,3.0,900.0,34069711,Z010,710155.0,1,14.0,,30.0,Z2,,5300460732.0,702,14.0,1
10.0,ST,40000000,F,531792,14,702.0,5500009087.0,14.0,2000,3.0,1440.0,34071501,Z001,710155.0,1,14.0,,30.0,X1,,5300456267.0,702,14.0,1
10.0,ST,40000000,F,324374,28,702.0,5500009086.0,28.0,2000,3.0,790.0,34071201,Z001,710155.0,1,28.0,,30.0,X1,,5300460734.0,702,28.0,1
10.0,ST,40000000,F,103936,14,702.0,5500009104.0,14.0,2800,3.0,640.0,34071001,Z001,710155.0,1,14.0,,30.0,Z0,,5300460741.0,702,14.0,1
10.0,ST,40100000,F,6321228,28,702.0,5500009094.0,28.0,2100,3.0,12380.0,34063501,Z001,710155.0,1,28.0,,30.0,X1,,5300456266.0,702,28.0,1
10.0,ST,40000000,F,685729,14,702.0,5500009088.0,14.0,2000,3.0,1870.0,34071551,Z001,710155.0,1,14.0,,30.0,X1,,5300460735.0,702,14.0,1
10.0,ST,550100000,F,2426562,168,702.0,5500005903.0,21.0,2000,0.0,14770.0,01240800,Z011,710392.0,1,21.0,E15,,Y5,,5300179975.0,702,168.0,1
