Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
37012101,702855,,0,0,0,0,F,,203,203.0,Z010,Y5,3500,1767469,1,E13,2100,,5300196249.0,0.0,2,210,030201000,ST,1
00170195,700020,,0,0,0,0,F,,208,208.0,Z011,X4,17660,24598,100,E20,2100,,5300432158.0,0.0,1,21,140700000,ST,1
34441105,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Y4,40,2573,100,E13,3000,2100.0,5300279786.0,0.0,1,112,060100000,ST,1
34441105,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Y4,40,2573,100,E13,3000,2700.0,5300279786.0,0.0,1,112,060100000,ST,1
34441105,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Y4,40,2573,100,E13,3000,3000.0,5300279786.0,0.0,1,112,060100000,ST,1
00311327,3000,,0,0,0,0,F,42.0,203,203.0,Z003,Z5,310,24598,100,,2100,,5300378257.0,0.0,1,182,030202000,ST,1
00311327,3000,,0,0,0,0,F,42.0,203,203.0,Z003,Z5,310,24598,100,,2100,2000.0,5300378257.0,0.0,1,182,030202000,ST,1
00311327,3000,,0,0,0,0,F,42.0,203,203.0,Z003,Z5,310,24598,100,,2100,2100.0,5300378257.0,0.0,1,182,030202000,ST,1
60069261,3000,,0,0,0,0,F,42.0,208,208.0,Z012,Z2,53210,205235,100,,2000,,,,1,1,140200000,ST,1
24152200,3000,,0,0,0,0,F,42.0,213,213.0,Z008,Z2,110,3025,1,,2000,2000.0,5300459588.0,0.0,1,42,010401000,ST,1
28188200,2000,,0,0,0,0,F,42.0,213,213.0,Z008,Z7,20,4212,1,,2100,2100.0,5300263650.0,0.0,1,2,010401000,ST,1
28188200,2000,,0,0,0,0,F,42.0,213,213.0,Z008,Z7,20,4212,1,,2100,3000.0,5300263650.0,0.0,1,2,010401000,ST,1
00347015,702282,,0,0,0,0,F,30.0,215,215.0,Z001,Z3,11490,14038482,1,,2000,,5300427444.0,3.0,1,5,080800000,ST,1
00347015,702282,,0,0,0,0,F,30.0,215,215.0,Z001,Z3,11490,14038482,1,,2000,,5300427444.0,0.0,1,5,080800000,ST,1
35195310,702225,,0,0,0,0,F,30.0,213,213.0,Z008,WB,2030,98841,1,,2000,,5300537422.0,0.0,1,63,010401000,ST,1
34495600,701318,,0,0,0,0,F,30.0,202,202.0,Z001,Y2,90,1377711,1,E13,2100,,5300169112.0,3.0,1,42,010403000,ST,1
60053593,709890,,0,0,0,0,F,30.0,202,202.0,Z011,Y2,49290,3272856,1,E13,2100,,5300419199.0,3.0,1,112,050400000,ST,1
60053595,709890,,0,0,0,0,F,30.0,202,202.0,Z011,Y2,44570,3110986,1,E13,2100,,5300419200.0,3.0,1,112,050400000,ST,1
60053595,709890,,0,0,0,0,F,30.0,202,202.0,Z011,Y2,44570,3110986,1,E13,2100,,5300419200.0,0.0,1,112,050400000,ST,1
34639500,701318,,0,0,0,0,F,30.0,202,202.0,Z001,Y9,40,947436,1,E13,2100,,5300067309.0,3.0,1,42,010403000,ST,1
34071011,2100,,0,0,0,0,F,41.0,203,203.0,Z011,Y9,230,194235,1,E11,2700,2700.0,5300199242.0,0.0,1,14,030201000,ST,1
34071011,2100,,0,0,0,0,F,41.0,203,203.0,Z011,Y9,230,194235,1,E11,2700,2800.0,5300199242.0,0.0,1,14,030201000,ST,1
34071011,2100,,0,0,0,0,F,41.0,203,203.0,Z011,Y9,230,194235,1,E11,2700,2000.0,5300199242.0,0.0,1,14,030201000,ST,1
34071011,2100,,0,0,0,0,F,41.0,203,203.0,Z011,Y9,230,194235,1,E11,2700,3000.0,5300199242.0,0.0,1,14,030201000,ST,1
00384096,2100,,0,0,0,0,F,41.0,202,202.0,Z012,Z5,6970,2746289,1,,3000,3000.0,5300197042.0,0.0,1,175,130100000,ST,1
