,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit
2886,00400697,702533,,0,,,,F,,206,206.0,Z001,Z7,28800.0,6822.0,1000,,2000,,5300061096.0,0.0,1.0,35,010301000,MM
2948,00400309,2000,,0,,,,F,72.0,206,206.0,Z012,Z9,,,1000,,3000,3000.0,5300216595.0,0.0,1.0,28,010304000,MM
3026,00400866,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019363.0,0.0,1.0,14,010202000,MM
3064,00400007,700464,,0,,,,F,,206,206.0,Z001,Z7,40000.0,3157.0,1000,,2000,,5300015661.0,0.0,1.0,14,010201000,MM
3329,04004486,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300117294.0,0.0,1.0,5,140100000,ST
3354,00401926,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217464.0,0.0,1.0,28,010303000,MM
3357,00400010,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216378.0,0.0,1.0,35,010201000,MM
3382,04005248,706943,,0,,,,F,,208,208.0,Z001,Z7,,,1000,,2000,,5300117987.0,0.0,1.0,45,130700000,ST
3387,00130352,703568,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300013043.0,0.0,15.0,56,070200000,ST
3466,00310781,700095,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300003961.0,0.0,40.0,70,030202000,ST
3584,00400382,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300017968.0,0.0,1.0,14,010303000,MM
3597,00400462,700464,,0,,,,F,,206,206.0,Z001,Z7,135000.0,64533.0,1000,,2000,,5300018551.0,0.0,1.0,14,010304000,MM
3608,00341017,703199,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2100,,5300012947.0,0.0,15.0,21,131400000,ST
3667,00400596,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300019715.0,0.0,1.0,14,010203000,MM
3718,00400963,702533,,0,,,,F,,206,206.0,Z001,Z7,45500.0,16439.0,1000,,2000,,5300019891.0,0.0,1.0,21,010304000,MM
3734,00400669,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216892.0,0.0,1.0,35,010302000,MM
3740,00400488,700464,,0,,,,F,,206,206.0,Z001,Z7,60000.0,39338.0,1000,,2000,,5300018792.0,0.0,1.0,21,010301000,MM
3763,00250050,2000,,0,,,,F,40.0,203,203.0,Z012,Y3,80000.0,3028.0,1000,E11,3000,3000.0,5300205467.0,0.0,1.0,21,140700000,MM
3798,04004557,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2000,,5300116490.0,0.0,1.0,28,110100000,ST
3860,00400726,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216936.0,0.0,1.0,28,010205000,MM
3866,00400148,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300016989.0,0.0,1.0,14,010201000,MM
3917,00400935,702533,,0,,,,F,,206,206.0,Z001,Z7,125000.0,136745.0,1000,,2000,,5300019750.0,0.0,1.0,14,010202000,MM
3968,00400600,702533,,0,,,,F,,206,206.0,Z002,Z7,60000.0,10629.0,1000,,2000,,5300019745.0,0.0,1.0,14,010302000,MM
4037,270204,703564,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300033982.0,0.0,40.0,112,130000000,ST
4044,00401926,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300020861.0,0.0,1.0,14,010303000,MM
4052,00401913,703555,,0,,,,F,,203,203.0,Z001,Z1,,,100,,2100,,5300020845.0,0.0,40.0,63,140200000,ST
4116,00370527,703992,,0,,,,F,,203,203.0,Z001,W2,,,100,,2100,,5300058233.0,0.0,40.0,49,140700000,ST
4206,00310259,700095,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300000791.0,0.0,40.0,56,030202000,ST
4208,00400710,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300185516.0,0.0,1.0,28,010301000,MM
4229,04004543,701112,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300116482.0,0.0,1.0,28,110100000,ST
4252,00400618,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216846.0,0.0,1.0,28,010302000,MM
4259,00270424,703550,,0,,,,F,,206,206.0,Z001,Z1,,,100,,2100,,5300008707.0,0.0,40.0,56,140700000,ST
4354,04004753,700020,,0,,,,F,,708,708.0,Z011,X4,,,1000,E20,2100,,5300107882.0,0.0,1.0,14,140200000,ST
4472,00270446,703550,,0,,,,F,,206,206.0,Z001,Z1,,,100,,2000,,5300008793.0,0.0,40.0,56,090300000,ST
4500,00401886,703555,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300020791.0,0.0,40.0,56,131000000,ST
4506,00310781,700095,,0,,,,F,,203,203.0,Z001,Z4,,,1,,2000,,5300003961.0,0.0,20.0,70,030202000,ST
4512,00400924,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300217097.0,0.0,1.0,35,010301000,MM
4597,36010158,702779,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300110939.0,0.0,1.0,21,080100000,ST
4633,00310216,700095,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300019254.0,0.0,40.0,70,030202000,ST
4714,00401944,708082,,0,,,,F,,203,203.0,Z002,Y3,,,100,E11,2000,,5300133193.0,0.0,40.0,90,060100000,ST
4730,00270351,701348,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E14,2100,,5300008485.0,0.0,1.0,28,100300000,MM
4738,00130063,703568,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300010937.0,0.0,15.0,84,070200000,ST
4802,00400354,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300017792.0,0.0,1.0,14,010303000,MM
4877,00402025,703535,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300020953.0,0.0,10.0,49,131000000,ST
4952,00400592,702533,,0,,,,F,,206,206.0,Z001,Z7,24884.0,11198.0,1000,,2000,,5300019682.0,0.0,1.0,21,010305000,MM
5078,00400977,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300019945.0,0.0,1.0,14,010301000,MM
5096,00311124UB,700095,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300082491.0,0.0,10.0,56,030203000,ST
5098,00381012,700098,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300008324.0,0.0,15.0,56,130500000,ST
5126,00401817,708082,,0,,,,F,,203,203.0,Z002,Y3,,,100,E11,2000,,5300133124.0,0.0,40.0,90,140100000,ST
5147,00400685,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300063412.0,0.0,1.0,21,010202000,MM
5153,00400740,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018513.0,0.0,1.0,14,010205000,MM
5185,00121077,700222,,0,,,,F,,708,708.0,Z011,Y3,,,1000,E11,2000,,5300121611.0,0.0,1.0,21,100300000,MM
5254,00401730,703555,,0,,,,F,,203,203.0,Z001,Z1,,,100,,2100,,5300020433.0,0.0,40.0,63,131000000,ST
5285,00400508,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216758.0,0.0,1.0,35,010202000,MM
5291,00401836,703555,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300020686.0,0.0,40.0,56,131000000,ST
5298,00400586,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019643.0,0.0,1.0,14,010203000,MM
5380,00400731,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300216939.0,0.0,1.0,28,010205000,MM
5387,00401089,702533,,0,,,,F,,206,206.0,Z001,Z7,10000.0,113.0,1000,,2000,,5300109346.0,0.0,1.0,21,010201000,MM
5497,00400416,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300018182.0,0.0,1.0,14,010301000,MM
5510,30010495,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300122998.0,0.0,1.0,5,550100000,ST
5607,00400092,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016390.0,0.0,1.0,14,010201000,MM
5680,00400109,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300016576.0,0.0,1.0,14,010201000,MM
5688,00402227,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217623.0,0.0,1.0,30,010202000,MM
5731,00402222,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217622.0,0.0,1.0,30,010202000,MM
5801,00270459,703550,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2100,,5300011669.0,0.0,40.0,56,090300000,ST
5813,00400456,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018495.0,0.0,1.0,14,010301000,MM
5910,270441,703564,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300034607.0,0.0,40.0,112,130000000,ST
5961,00341363,700808,4600012164.0,10,365.0,,,F,30.0,215,215.0,Z001,X1,5170.0,12440054.0,1,,2000,,5300113375.0,3.0,1.0,365,80800000,ST
5965,00400029,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300015844.0,0.0,1.0,14,010201000,MM
5998,00180048,701256,,0,,,,F,,215,215.0,Z002,Y3,,,1000,E13,2000,,5300017606.0,0.0,1.0,42,100300000,MM
6036,00400477,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300216733.0,0.0,1.0,28,010303000,MM
6065,04005127,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300117453.0,0.0,1.0,5,140100000,ST
6100,00400532,702533,,0,,,,F,,206,206.0,Z001,Z7,25000.0,4623.0,1000,,2000,,5300019230.0,0.0,1.0,14,010302000,MM
6113,00400067,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016147.0,0.0,1.0,14,010201000,MM
6132,00385983,709226,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2000,,5300157227.0,0.0,40.0,84,130000000,ST
6196,00400510,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216760.0,0.0,1.0,28,010202000,MM
6254,04104651,711970,,0,,,,F,,215,215.0,Z001,Y2,,,1000,E13,2000,,5300193731.0,0.0,1.0,84,550100000,ST
6395,00401799,703555,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300020526.0,0.0,40.0,98,090200000,ST
6398,04004581,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2100,,5300116407.0,0.0,1.0,28,140200000,ST
6415,00401693,708082,,0,,,,F,,203,203.0,Z001,Y3,,,100,E11,2000,,5300133046.0,0.0,40.0,90,060100000,ST
6471,00370398,703558,,0,,,,F,,203,203.0,Z001,Z1,,,100,,2000,,5300003433.0,0.0,40.0,28,140100000,ST
6483,36020186,1900,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300150838.0,0.0,1.0,5,010300000,ST
6501,25010298,701831,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300099124.0,0.0,1.0,28,550100000,ST
6535,00400487,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300063531.0,0.0,1.0,28,010301000,MM
6556,00400048,702533,,0,,,,F,,206,206.0,Z002,Z7,27000.0,2941.0,1000,,2000,,5300015997.0,0.0,1.0,14,010201000,MM
6667,00400054,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300216416.0,0.0,1.0,28,010201000,MM
6713,00400945,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300217116.0,0.0,1.0,28,010301000,MM
6763,00400387,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216667.0,0.0,1.0,35,010304000,MM
6849,04004519,701112,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300116192.0,0.0,1.0,14,110100000,ST
6888,00400338,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216622.0,0.0,1.0,28,010304000,MM
6978,00430476,700091,,0,,,,F,,203,203.0,Z001,Z1,,,100,,2100,,5300032591.0,0.0,15.0,42,140200000,ST
7045,00400953,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019838.0,0.0,1.0,21,010305000,MM
7072,95388,703564,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300045853.0,0.0,40.0,112,070200000,ST
7101,00400039,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216406.0,0.0,1.0,28,010201000,MM
7165,9394-006,703564,,0,,,,F,,203,203.0,Z001,Z1,,,100,,2000,,5300054441.0,0.0,40.0,112,140200000,ST
7184,00400512,702533,,0,,,,F,,206,206.0,Z002,Z7,285800.0,4852.0,1000,,2000,,5300019042.0,0.0,1.0,14,010202000,MM
7235,00400065,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300016127.0,0.0,1.0,14,010201000,MM
7280,00400328,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300017582.0,0.0,1.0,14,010304000,MM
7361,00401296,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300098475.0,0.0,1.0,21,010302000,MM
7602,00300393,703338,,0,,,,F,,219,219.0,Z001,Z1,,,100,,2100,,5300017143.0,0.0,15.0,84,090300000,ST
7625,00401695,703555,,0,,,,F,,203,203.0,Z001,Z1,,,100,,2100,,5300020270.0,0.0,40.0,21,140100000,ST
7641,00401880,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300020781.0,0.0,1.0,28,010302000,MM
7649,00400427,2000,,0,,,,F,72.0,206,206.0,Z012,Z2,,,1000,,3000,3000.0,5300216695.0,0.0,1.0,28,010301000,MM
7670,00400904,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217083.0,0.0,1.0,28,010305000,MM
7703,04004441,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300117829.0,0.0,1.0,5,110100000,ST
7741,00401697,703555,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300020281.0,0.0,40.0,21,140100000,ST
7789,00200217,702790,,0,,,,F,,215,215.0,Z001,Y3,,,1000,E13,2000,,5300068043.0,0.0,1.0,49,100201000,MM
7905,00400270,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216578.0,0.0,1.0,30,010304000,MM
7970,00130164,703568,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300011457.0,0.0,15.0,84,070200000,ST
8003,00401665,708082,,0,,,,F,,203,203.0,Z002,Y3,,,1,E11,2000,,5300133012.0,0.0,40.0,90,131000000,ST
8122,95166402,8002,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300142974.0,0.0,1.0,30,100300000,MM
8156,04004560,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2100,,5300116397.0,0.0,1.0,84,110100000,ST
8177,00401694,703555,,0,,,,F,,203,203.0,Z001,Z1,,,100,,2100,,5300020263.0,0.0,40.0,21,140300000,ST
8239,9001462,703564,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300053499.0,0.0,40.0,112,110500000,ST
8405,00400969,706856,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300108331.0,0.0,1.0,21,010301000,MM
8434,00400681,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216900.0,0.0,1.0,365,010302000,MM
8440,00400372,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300017906.0,0.0,1.0,21,010304000,MM
8486,00130180,703568,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300011539.0,0.0,15.0,70,070200000,ST
8490,00400010,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300015686.0,0.0,1.0,7,010201000,MM
8499,00400524,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019155.0,0.0,1.0,14,010301000,MM
8528,00400623,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216851.0,0.0,1.0,28,010102000,MM
8567,04004620,701112,,0,,,,F,,206,206.0,Z001,EX,,,1000,,2000,,5300116212.0,0.0,1.0,15,110100000,ST
8782,00310235,700095,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300019375.0,0.0,40.0,56,030202000,ST
8785,00310233,700095,,0,,,,F,,203,203.0,Z001,Z5,,,1,,2000,,5300019362.0,0.0,40.0,56,030202000,ST
8822,00400364,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300017851.0,0.0,1.0,56,010205000,MM
8848,00402178,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217607.0,0.0,1.0,30,010202000,MM
8863,00400826,703555,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300019054.0,0.0,40.0,56,131000000,ST
8907,00400485,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018761.0,0.0,1.0,21,010301000,MM
8911,00310790,700015,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300077553.0,0.0,1.0,28,080600000,MM
8952,00400088,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216450.0,0.0,1.0,28,010201000,MM
8992,00401931,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300020869.0,0.0,1.0,14,010303000,MM
8993,00400106,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216468.0,0.0,1.0,28,010201000,MM
9002,00401861,708082,,0,,,,F,,203,203.0,Z002,Y3,,,1,E11,2000,,5300133149.0,0.0,40.0,90,131000000,ST
9185,00340015,714785,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2100,,5300425712.0,0.0,15.0,21,080900000,ST
9239,00270444,703550,,0,,,,F,,206,206.0,Z001,Z1,,,100,,2000,,5300008786.0,0.0,40.0,56,090300000,ST
9260,00402092,702533,,0,,,,F,,206,206.0,Z001,Z4,55000.0,31954.0,1000,,2000,,5300065063.0,0.0,1.0,70,010301000,MM
9326,00400496,702533,,0,,,,F,,206,206.0,Z001,Z1,75000.0,1725.0,1000,,2000,,5300018872.0,0.0,1.0,14,010301000,MM
9328,00400403,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300018083.0,0.0,1.0,14,010301000,MM
9355,00402164,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300217604.0,0.0,1.0,21,010304000,MM
9374,00401826,703555,,0,,,,F,,203,203.0,Z001,Z1,,,100,,2100,,5300020644.0,0.0,40.0,98,140700000,ST
9394,00250037,700623,,0,,,,F,,203,203.0,Z002,Y4,1972500.0,32992.0,1000,E11,2100,,5300010503.0,0.0,1.0,14,130404000,MM
9407,00400350,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216634.0,0.0,1.0,28,010304000,MM
9421,00400600,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019745.0,0.0,1.0,14,010302000,MM
9442,00400346,702533,,0,,,,F,,206,206.0,Z001,Z7,100000.0,27931.0,1000,,2000,,5300017732.0,0.0,1.0,14,010304000,MM
9503,00400343,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216627.0,0.0,1.0,28,010304000,MM
9520,00400537,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019274.0,0.0,1.0,21,010202000,MM
9543,270120,703564,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300033948.0,0.0,40.0,112,110000000,ST
9644,00400944,703555,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300061818.0,0.0,40.0,56,030203000,ST
9697,00400344,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300017714.0,0.0,1.0,21,010303000,MM
