,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
6114,04000262,706836,,0,,,,F,,990,990.0,Z012,Z7,50.0,203005.0,1,,3000,,5300105549.0,0.0,1.0,14,071000000,ST,1
2540,60021868,2100,,0,,,,F,41.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300375886.0,0.0,1.0,42,010102000,ST,0
18045,23900600UB,709558,,0,,,,F,,228,228.0,Z001,Z1,,,1,,2100,,5300549295.0,0.0,1.0,42,10402000,ST,0
11832,60053134,1000,,0,,,,F,,991,991.0,Z008,TB,,,1,,2100,,5300418229.0,0.0,1.0,42,10401000,ST,0
17845,04008273,711970,,0,,,,F,40.0,215,215.0,Z001,Y2,,,100,E13,2100,,5300194073.0,0.0,1.0,3,080600000,ST,0
14570,60070482,700230,,0,,,,F,,219,219.0,Z001,Z1,3000.0,87971.0,100,,2000,,5300456271.0,0.0,1.0,42,100202000,ST,0
9393,00341449,701230,,0,,,,F,,707,707.0,Z001,Z2,,,100,,2000,,5300096326.0,0.0,1.0,28,080600000,ST,0
10208,80440807,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300151023.0,0.0,1.0,14,520100000,ST,0
11911,00240003,702649,,0,,,,F,,213,213.0,Z001,Z1,,,1,,2100,,5300005967.0,0.0,1.0,56,010102000,ST,1
1163,60103129,709558,,0,,,,F,,228,228.0,Z001,Y2,,,1,E13,2100,,5300520768.0,0.0,1.0,42,10401000,ST,0
16259,80850201,2000,,0,,,,F,40.0,203,203.0,Z012,Y3,,,100,E14,3000,3000.0,5300297267.0,0.0,1.0,999,520100000,ST,0
15569,24447700UB,1000,,0,,,,F,,991,991.0,Z008,Z2,80.0,18152.0,1,,2000,,5300176310.0,0.0,1.0,42,010401000,ST,0
