,Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,Anomaly_Score,Predicted_Label
3413,00220050,700985,,0,0,0,0,F,,203,203.0,Z005,Y2,0,0,1,E13,2100,,5300004731.0,0.0,1,154,131500000,ST,0.75,0
3414,00346942,708038,,0,0,0,0,F,,215,215.0,Z001,Y6,20,7515,1,E11,2000,,5300155558.0,0.0,1,84,080100000,ST,0.02,1
3415,24048900UB,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300158290.0,0.0,1,3,10401000,ST,0.2132805427938091,1
3416,95100111,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300302740.0,0.0,1,42,130401000,ST,0.4431415382862749,1
3417,60073485,701979,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,100,,2100,,5300455653.0,0.0,1,180,520300000,ST,0.93,0
3418,23014802UB,700000,,0,0,0,0,F,,723,723.0,Z001,X3,0,0,100,E20,2000,,5300142848.0,0.0,1,28,10102000,ST,0.3663333333333333,1
3419,00470092,703939,,0,0,0,0,F,,206,206.0,Z001,Z1,40,31743,1,,2100,,5300152398.0,0.0,1,30,590200000,ST,0.56,0
3420,04005376,707284,,0,0,0,0,F,,707,707.0,Z001,Z7,80,2863,100,,2100,,5300111081.0,0.0,1,112,070300000,ST,0.72,0
3421,60054622,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300419793.0,0.0,1,70,010102000,ST,0.985,0
3422,28183802,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z5,0,0,100,,3000,2700.0,5300432938.0,0.0,1,28,10102000,ST,0.3663333333333333,1
3423,00110277,701548,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2100,,5300002573.0,0.0,1,21,070600000,ST,0.05,1
3424,04007160,705960,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300158193.0,0.0,1,35,131200000,ST,0.3818659673659673,1
3425,37208205,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,100,,3000,3000.0,5300293480.0,0.0,1,999,10102000,ST,0.51,0
3426,34702700UB,1000,,0,0,0,0,F,,991,991.0,Z001,TB,0,0,1,,2000,,5300163304.0,0.0,1,42,10402000,ST,0.4431415382862749,1
3427,23277900UB,702225,,0,0,0,0,F,,213,213.0,Z008,Z1,250,16375,1,,2100,,5300023928.0,0.0,1,56,010401000,ST,0.5416666666666666,0
3428,04007908,700222,,0,0,0,0,F,,272,272.0,Z012,Y5,50,2319,1,E11,3000,,5300426670.0,0.0,1,14,070000000,ST,0.65,0
3429,31095200UB,715408,,0,0,0,0,F,30.0,223,223.0,Z004,TB,0,0,1,,2000,,5300435360.0,3.0,1,56,10403000,ST,0.1754642857142856,1
3430,23256811,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z4,60,4024,100,,3000,3000.0,5300404896.0,0.0,1,28,010102000,ST,0.168,1
3431,01240504,2000,,0,0,0,0,F,40.0,212,212.0,Z012,Z1,0,0,100,,3000,3000.0,5300183538.0,0.0,1,999,100202000,ST,0.51,0
3432,00160061,3000,,0,0,0,0,F,42.0,215,215.0,Z001,Y3,10,51,1,E13,2000,2000.0,5300458170.0,0.0,1,14,100201000,ST,0.2557391304347826,1
3433,60038955,2000,,0,0,0,0,F,40.0,252,252.0,Z012,Z5,0,0,1,,3000,3000.0,5300428519.0,0.0,0,999,00,ST,0.0,1
3434,00440223,703255,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300033428.0,0.0,1,42,130000000,ST,0.4431415382862749,1
3435,00111295,700000,,0,0,0,0,F,,723,723.0,Z001,V3,1880,376,100,E19,2100,,5300165013.0,0.0,1,21,010502000,ST,0.19,1
3436,00310144,2000,,0,0,0,0,F,40.0,233,233.0,Z012,Y3,0,0,1,E11,3000,3000.0,5300207908.0,0.0,1,84,60100000,ST,0.0,1
3437,60014006,1900,,0,0,0,0,F,,279,279.0,Z001,Z7,20,5112,100,,3000,,5300522221.0,0.0,1,28,010401000,ST,0.128,1
