Unnamed: 0,Material number,Supplier,Contract,Contract Position,Fulfillment time_x,Fixed contract 1_x,Fixed contract 2_x,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity_x,Total value_x,Price unit_x,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time_x,Material master time_x,Product group,Base unit,Fulfillment time_y,Fixed contract 1_y,Fixed contract 2_y,Total quantity_y,Total value_y,Price unit_y,Plant processing time_y,Material master time_y
2674,00400975,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300155590.0,0.0,1.0,28,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
2699,00400934,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019747.0,0.0,1.0,14,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
2753,00401930,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217467.0,0.0,1.0,35,10205000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
2757,00400089,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300016356.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
2948,00400309,2000,,0,,,,F,72.0,206,206.0,Z012,Z9,,,1000,,3000,3000.0,5300216595.0,0.0,1.0,28,10304000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
3026,00400866,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019363.0,0.0,1.0,14,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
3064,00400007,700464,,0,,,,F,,206,206.0,Z001,Z7,40000.0,3157.0,1000,,2000,,5300015661.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,40000.0,3157.0,1000.0,1.0,14.0
3329,04004486,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300117294.0,0.0,1.0,5,140100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
3354,00401926,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217464.0,0.0,1.0,28,10303000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
3357,00400010,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216378.0,0.0,1.0,35,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
3382,04005248,706943,,0,,,,F,,208,208.0,Z001,Z7,,,1000,,2000,,5300117987.0,0.0,1.0,45,130700000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,45.0
3584,00400382,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300017968.0,0.0,1.0,14,10303000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
3667,00400596,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300019715.0,0.0,1.0,14,10203000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
3734,00400669,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216892.0,0.0,1.0,35,10302000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
3763,00250050,2000,,0,,,,F,40.0,203,203.0,Z012,Y3,80000.0,3028.0,1000,E11,3000,3000.0,5300205467.0,0.0,1.0,21,140700000,MM,0.0,0.0,0.0,80000.0,3028.0,1000.0,1.0,21.0
3798,04004557,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2000,,5300116490.0,0.0,1.0,28,110100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
3860,00400726,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216936.0,0.0,1.0,28,10205000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
3866,00400148,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300016989.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
3968,00400600,702533,,0,,,,F,,206,206.0,Z002,Z7,60000.0,10629.0,1000,,2000,,5300019745.0,0.0,1.0,14,10302000,MM,0.0,0.0,0.0,60000.0,10629.0,1000.0,1.0,14.0
4044,00401926,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300020861.0,0.0,1.0,14,10303000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
4208,00400710,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300185516.0,0.0,1.0,28,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
4229,04004543,701112,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300116482.0,0.0,1.0,28,110100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
4252,00400618,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216846.0,0.0,1.0,28,10302000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
4354,04004753,700020,,0,,,,F,,708,708.0,Z011,X4,,,1000,E20,2100,,5300107882.0,0.0,1.0,14,140200000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
4512,00400924,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300217097.0,0.0,1.0,35,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
4597,36010158,702779,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300110939.0,0.0,1.0,21,80100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
4730,00270351,701348,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E14,2100,,5300008485.0,0.0,1.0,28,100300000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
4802,00400354,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300017792.0,0.0,1.0,14,10303000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5078,00400977,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300019945.0,0.0,1.0,14,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5147,00400685,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300063412.0,0.0,1.0,21,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
5153,00400740,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018513.0,0.0,1.0,14,10205000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5185,00121077,700222,,0,,,,F,,708,708.0,Z011,Y3,,,1000,E11,2000,,5300121611.0,0.0,1.0,21,100300000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
5285,00400508,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216758.0,0.0,1.0,35,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
5298,00400586,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019643.0,0.0,1.0,14,10203000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5380,00400731,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300216939.0,0.0,1.0,28,10205000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
5387,00401089,702533,,0,,,,F,,206,206.0,Z001,Z7,10000.0,113.0,1000,,2000,,5300109346.0,0.0,1.0,21,10201000,MM,0.0,0.0,0.0,10000.0,113.0,1000.0,1.0,21.0
5497,00400416,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300018182.0,0.0,1.0,14,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5510,30010495,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300122998.0,0.0,1.0,5,550100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
5607,00400092,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016390.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5680,00400109,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300016576.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5688,00402227,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217623.0,0.0,1.0,30,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
5731,00402222,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217622.0,0.0,1.0,30,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
5813,00400456,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018495.0,0.0,1.0,14,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5961,00341363,700808,4600012164.0,10,365.0,,,F,30.0,215,215.0,Z001,X1,5170.0,12440054.0,1,,2000,,5300113375.0,3.0,1.0,365,80800000,ST,365.0,0.0,0.0,5170.0,12440054.0,1.0,1.0,365.0
5965,00400029,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300015844.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5998,00180048,701256,,0,,,,F,,215,215.0,Z002,Y3,,,1000,E13,2000,,5300017606.0,0.0,1.0,42,100300000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,42.0
6036,00400477,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300216733.0,0.0,1.0,28,10303000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
6065,04005127,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300117453.0,0.0,1.0,5,140100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
6113,00400067,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016147.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
6196,00400510,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216760.0,0.0,1.0,28,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
6254,04104651,711970,,0,,,,F,,215,215.0,Z001,Y2,,,1000,E13,2000,,5300193731.0,0.0,1.0,84,550100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,84.0
6398,04004581,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2100,,5300116407.0,0.0,1.0,28,140200000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
6483,36020186,1900,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300150838.0,0.0,1.0,5,10300000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
6501,25010298,701831,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300099124.0,0.0,1.0,28,550100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
6535,00400487,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300063531.0,0.0,1.0,28,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
6556,00400048,702533,,0,,,,F,,206,206.0,Z002,Z7,27000.0,2941.0,1000,,2000,,5300015997.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,27000.0,2941.0,1000.0,1.0,14.0
6667,00400054,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300216416.0,0.0,1.0,28,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
6713,00400945,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300217116.0,0.0,1.0,28,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
6763,00400387,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216667.0,0.0,1.0,35,10304000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
6849,04004519,701112,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300116192.0,0.0,1.0,14,110100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
6888,00400338,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216622.0,0.0,1.0,28,10304000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
7045,00400953,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019838.0,0.0,1.0,21,10305000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
7101,00400039,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216406.0,0.0,1.0,28,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
7184,00400512,702533,,0,,,,F,,206,206.0,Z002,Z7,285800.0,4852.0,1000,,2000,,5300019042.0,0.0,1.0,14,10202000,MM,0.0,0.0,0.0,285800.0,4852.0,1000.0,1.0,14.0
7235,00400065,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300016127.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
7280,00400328,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300017582.0,0.0,1.0,14,10304000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
7361,00401296,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300098475.0,0.0,1.0,21,10302000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
7641,00401880,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300020781.0,0.0,1.0,28,10302000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
7649,00400427,2000,,0,,,,F,72.0,206,206.0,Z012,Z2,,,1000,,3000,3000.0,5300216695.0,0.0,1.0,28,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
7670,00400904,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217083.0,0.0,1.0,28,10305000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
7703,04004441,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300117829.0,0.0,1.0,5,110100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
7789,00200217,702790,,0,,,,F,,215,215.0,Z001,Y3,,,1000,E13,2000,,5300068043.0,0.0,1.0,49,100201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,49.0
7905,00400270,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216578.0,0.0,1.0,30,10304000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
8122,95166402,8002,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300142974.0,0.0,1.0,30,100300000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
8156,04004560,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2100,,5300116397.0,0.0,1.0,84,110100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,84.0
8405,00400969,706856,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300108331.0,0.0,1.0,21,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
8434,00400681,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216900.0,0.0,1.0,365,10302000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,365.0
8440,00400372,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300017906.0,0.0,1.0,21,10304000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
8490,00400010,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300015686.0,0.0,1.0,7,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,7.0
8499,00400524,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019155.0,0.0,1.0,14,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
8528,00400623,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216851.0,0.0,1.0,28,10102000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
8567,04004620,701112,,0,,,,F,,206,206.0,Z001,EX,,,1000,,2000,,5300116212.0,0.0,1.0,15,110100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,15.0
8822,00400364,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300017851.0,0.0,1.0,56,10205000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,56.0
8848,00402178,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217607.0,0.0,1.0,30,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
8907,00400485,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018761.0,0.0,1.0,21,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
8911,00310790,700015,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300077553.0,0.0,1.0,28,80600000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
8952,00400088,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216450.0,0.0,1.0,28,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
8992,00401931,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300020869.0,0.0,1.0,14,10303000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
8993,00400106,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216468.0,0.0,1.0,28,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
9326,00400496,702533,,0,,,,F,,206,206.0,Z001,Z1,75000.0,1725.0,1000,,2000,,5300018872.0,0.0,1.0,14,10301000,MM,0.0,0.0,0.0,75000.0,1725.0,1000.0,1.0,14.0
9328,00400403,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300018083.0,0.0,1.0,14,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
9355,00402164,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300217604.0,0.0,1.0,21,10304000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
9394,00250037,700623,,0,,,,F,,203,203.0,Z002,Y4,1972500.0,32992.0,1000,E11,2100,,5300010503.0,0.0,1.0,14,130404000,MM,0.0,0.0,0.0,1972500.0,32992.0,1000.0,1.0,14.0
9407,00400350,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216634.0,0.0,1.0,28,10304000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
9421,00400600,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019745.0,0.0,1.0,14,10302000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
9503,00400343,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216627.0,0.0,1.0,28,10304000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
9520,00400537,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019274.0,0.0,1.0,21,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
9697,00400344,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300017714.0,0.0,1.0,21,10303000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
9742,00400034,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300015894.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
