,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly,if_anomaly
431,00381151,2000,,0,,,,F,40.0,203,203.0,Z012,Y5,,,100,E11,3000,3000.0,5300214120.0,0.0,1.0,14,120000000,ST,1,0
741,30131403,2000,,0,,,,F,40.0,989,989.0,Z012,Z1,,,100,,3000,3000.0,5300269582.0,0.0,1.0,999,10100000,ST,1,0
790,34080915,2000,,0,,,,F,40.0,224,224.0,Z012,Z7,430.0,28673.0,1,,3000,3000.0,5300354166.0,0.0,1.0,28,060100000,ST,1,0
570,00386095,708008,,0,,,,F,,703,703.0,Z008,Y2,,,100,E11,2000,,5300183767.0,0.0,1.0,14,120000000,ST,0,0
727,00180010,701119,,0,,,,F,,707,707.0,Z001,Z2,,,1000,,2000,,5300017387.0,0.0,1.0,14,100300000,MM,0,0
398,04006420,705960,,0,,,,F,,278,278.0,Z012,Z1,20.0,16848.0,1,,3000,,5300139491.0,0.0,1.0,28,131200000,ST,1,0
13,60038350,701318,,0,,,,F,,202,202.0,Z001,Z1,,,1,,3000,,5300414630.0,0.0,1.0,42,10401000,ST,0,0
596,24341903,700151,,0,,,,F,,233,233.0,Z011,Y4,1350.0,31176.0,100,E15,2100,,5300084813.0,0.0,1.0,42,010302000,ST,1,0
183,24621200UB,2000,,0,,,,F,40.0,223,223.0,Z012,Z7,,,1,,3000,3000.0,5300250177.0,0.0,1.0,42,10401000,ST,1,0
937,00340857,702515,,0,,,,F,,215,215.0,Z001,Z1,,,1,,2100,,5300011959.0,0.0,1.0,14,080600000,ST,0,0
428,00100285,700222,,0,,,,F,,208,208.0,Z011,Y9,,,1,E11,2100,,5300000634.0,0.0,1.0,21,070300000,ST,0,0
806,95194074UB,700000,,0,,,,F,,723,723.0,Z001,X3,,,100,E20,2000,,5300184891.0,0.0,1.0,35,10102000,ST,1,0
597,80741103,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2000,,5300098211.0,0.0,1.0,14,520100000,ST,1,0
153,34305900UB,1000,,0,,,,F,,991,991.0,Z008,TB,,,1,,2000,,5300172800.0,0.0,1.0,42,10401000,ST,1,0
726,00150029,700585,,0,,,,F,,203,203.0,Z010,Y5,30.0,7266.0,1,E14,3000,,5300015063.0,0.0,1.0,56,130401000,ST,1,0
934,82019721UB,2000,,0,,,,F,40.0,233,233.0,Z012,Y2,,,100,E11,3000,3000.0,5300299053.0,0.0,1.0,42,060200000,ST,1,0
213,04002573,701388,,0,,,,F,,272,272.0,Z012,Z7,130.0,162.0,100,,3000,,5300106642.0,0.0,1.0,56,LEEB,ST,1,0
990,23272800,2100,,0,,,,F,41.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300197544.0,0.0,1.0,42,10403000,ST,1,0
766,21272201UB,700000,,0,,,,F,,723,723.0,Z001,X3,,,1,E20,2000,,5300121120.0,0.0,1.0,28,10102000,ST,0,0
615,34561100UB,704926,,0,,,,F,30.0,223,223.0,Z001,Z1,,,1,,2000,,5300180369.0,3.0,1.0,42,10402000,ST,0,0
280,60021777,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,,,100,,2100,3000.0,5300374401.0,0.0,1.0,3,140100000,ST,0,0
871,00402114,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300091544.0,0.0,1.0,21,010304000,MM,0,0
324,00347358,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E13,2100,3000.0,5300211523.0,0.0,1.0,3,080100000,ST,1,0
515,60039630,708008,,0,,,,F,,703,703.0,Z008,Y2,1030.0,6025.0,100,E11,2100,,5300392132.0,0.0,1.0,14,120000000,ST,0,0
95,00380533,708008,,0,,,,F,,203,203.0,Z011,Y9,410.0,2424.0,100,E11,2800,,5300126773.0,0.0,1.0,14,120000000,ST,0,0
360,34549003,700000,,0,,,,F,,723,723.0,Z001,V3,10.0,1148.0,100,E19,2100,,5300128239.0,0.0,1.0,42,010102000,ST,0,0
294,60036911,704276,,0,,,,F,,228,228.0,Z001,Y2,,,1,E14,2100,,5300389398.0,0.0,1.0,42,10402000,ST,0,0
43,00330348,700535,,0,,,,F,,233,233.0,Z011,Z7,,,1,,2100,,5300073526.0,0.0,1.0,28,110400000,ST,0,0
781,04105932,700222,,0,,,,F,,272,272.0,Z012,Y5,40.0,739.0,1,E11,3000,,5300120731.0,0.0,1.0,14,070900000,ST,1,0
58,28286700UB,704926,5500001871.0,20,42.0,42.0,42.0,F,30.0,723,723.0,Z008,Z3,,,1,,2100,,5300083668.0,3.0,1.0,42,10403000,ST,0,0
