,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly,if_anomaly
830,04000216,700537,,0,,,,F,,276,276.0,Z012,Y4,10.0,36421.0,1,E13,3000,,5300105527.0,0.0,1.0,63,070600000,ST,1,0
944,24593203UB,711636,,0,,,,F,,211,211.0,Z001,Z1,,,100,,2100,,5300187647.0,0.0,1.0,28,10102000,ST,0,0
441,60018245,708868,,0,,,,F,,215,215.0,Z001,Y4,2470.0,18119.0,100,E13,2100,,5300386328.0,0.0,1.0,56,100202000,ST,0,0
653,37221008UB,2000,,0,,,,F,40.0,989,989.0,Z012,Z1,,,100,,3000,3000.0,5300293629.0,0.0,1.0,999,60100000,ST,1,0
152,34302200,2000,,0,,,,F,40.0,224,224.0,Z012,EX,,,1,,3000,3000.0,5300278363.0,0.0,1.0,42,10402000,ST,1,0
140,36062507,1000,,0,,,,F,,223,223.0,Z012,Z1,20.0,108.0,100,,3000,,5300411855.0,0.0,1.0,28,010102000,ST,1,0
133,23585902,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300235260.0,0.0,1.0,999,10301000,ST,1,0
148,19100500,2000,,0,,,,F,40.0,224,224.0,Z012,Z4,130.0,190827.0,1,,3000,3000.0,5300226326.0,0.0,1.0,25,550100000,ST,1,0
189,28140600,2100,,0,,,,F,41.0,224,224.0,Z012,Z4,10.0,68354.0,1,,3000,3000.0,5300198822.0,0.0,1.0,42,010403000,ST,1,0
229,00210078,701660,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300003349.0,0.0,1.0,42,071000000,ST,0,0
693,34770232,2000,,0,,,,F,40.0,213,213.0,Z012,Z1,,,100,,3000,3000.0,5300284455.0,0.0,1.0,999,10103000,ST,1,0
908,95062800,702040,,0,,,,F,30.0,706,706.0,Z011,Y2,,,1,E13,3000,,5300055252.0,3.0,1.0,14,550100000,ST,1,0
511,00360814,701806,5500000368.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,7240.0,1493.0,100,E98,2000,,5300174054.0,0.0,2.0,4,140100000,ST,1,0
821,60029279,704276,,0,,,,F,,228,228.0,Z001,Y2,,,1,E14,2100,,5300418682.0,0.0,1.0,42,10403000,ST,0,0
520,60068580,715022,,0,,,,F,,215,215.0,Z001,Y4,890.0,114567.0,1,E13,2000,,5300460692.0,0.0,1.0,84,080300000,ST,1,0
472,04004003,707779,,0,,,,F,,206,206.0,Z001,Z2,,,1,,2100,,5300124142.0,0.0,1.0,42,100202000,ST,0,0
863,00111235,2000,,0,,,,F,40.0,203,203.0,Z012,Y2,,,1,E13,3000,3000.0,5300180460.0,0.0,1.0,999,071000000,ST,1,0
65,04007285,707144,,0,,,,F,,206,206.0,Z001,Y4,100.0,1544.0,100,E11,2000,,5300164911.0,0.0,1.0,42,100000000,ST,1,0
117,34219807,2100,,0,,,,F,41.0,203,203.0,Z001,Y2,1540.0,69643.0,1,E13,3000,3000.0,5300529244.0,0.0,1.0,112,050100000,ST,1,0
805,33733601,2000,,0,,,,F,40.0,233,233.0,Z012,Y4,60.0,916.0,1,E12,3000,3000.0,5300275774.0,0.0,1.0,84,060100000,ST,1,0
101,00120942,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,,,1,,3000,2700.0,5300202527.0,0.0,1.0,42,070400000,ST,1,0
635,00120975,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,,,1,,3000,3000.0,5300202536.0,0.0,1.0,42,70400000,ST,1,0
