Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE-Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit
36042605,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,100,,3000,3000.0,5300290523.0,0.0,1,999,10102000,ST
28292004,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300265279.0,0.0,1,999,10304000,ST
23082902,711595,,0,0,0,0,F,,218,218.0,Z001,Y4,180,17244,100,E13,2000,,5300189096.0,0.0,1,14,100202000,ST
00360500,700020,,0,0,0,0,F,,208,208.0,Z011,X4,20,74,100,E20,3000,,5300019873.0,0.0,1,42,140100000,ST
34999803,701056,,0,0,0,0,F,,206,206.0,Z011,Y4,10,1604,1,E12,2100,,5300151632.0,0.0,1,28,530300000,ST
00385275,703001,,0,0,0,0,F,,203,203.0,Z001,Y2,0,0,1,E11,2000,,5300110249.0,0.0,1,140,090300000,ST
24344604,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,100,,3000,3000.0,5300244938.0,0.0,1,999,010102000,ST
34996700UB,702225,,0,0,0,0,F,,213,213.0,Z008,Z3,0,0,1,,2100,,5300136972.0,0.0,1,56,10405000,ST
24938702UB,704926,,0,0,0,0,F,,723,723.0,Z001,Z2,0,0,100,,2000,,5300195261.0,0.0,1,28,10102000,ST
24350401UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,100,,3000,3000.0,5300245121.0,0.0,1,28,10102000,ST
95184377,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,100,,3000,3000.0,5300312484.0,0.0,1,999,010102000,ST
60032059,700222,,0,0,0,0,F,,272,272.0,Z012,Y5,572,68292,100,E11,3000,,5300433828.0,0.0,1,14,100201000,M
23903905UB,711636,,0,0,0,0,F,,711,711.0,Z001,Z6,0,0,1,,2000,,5300187979.0,0.0,1,28,10102000,ST
95173025UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,100,,3000,3000.0,5300309765.0,0.0,1,999,10102000,ST
60100201,701318,,0,0,0,0,F,,228,228.0,Z010,Y3,0,0,1,E11,2000,,5300505303.0,0.0,1,28,10102000,ST
95163095,701528,5500001470.0,20,28,28,56,F,,733,733.0,Z011,Y9,1930,81265,100,E14,2000,,5300138172.0,0.0,1,56,60100000,ST
24621710,701831,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,2000,,5300143164.0,0.0,1,30,140700000,ST
23840300UB,709741,,0,0,0,0,F,,213,213.0,Z008,V9,0,0,1,E18,2000,,5300370661.0,3.0,1,42,10403000,ST
00340338,702515,,0,0,0,0,F,,215,215.0,Z001,Z1,0,0,1,,2000,,5300009772.0,0.0,1,28,080500000,ST
00190196,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y2,0,0,1,E11,3000,3000.0,5300204062.0,0.0,1,180,70300000,ST
25021132UB,2000,,0,0,0,0,F,40.0,989,989.0,Z012,Z1,0,0,100,,3000,3000.0,5300257471.0,0.0,1,999,10102000,ST
00347292,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Z1,0,0,100,,3000,3000.0,5300211498.0,0.0,1,84,80100000,ST
80911135,2000,,0,0,0,0,F,40.0,272,272.0,Z012,Z1,0,0,100,,3000,3000.0,5300297872.0,0.0,1,999,520100000,ST
60006394,701806,,0,0,0,0,F,,208,208.0,Z011,V4,0,0,100,E98,2100,,5300350884.0,0.0,2,14,140100000,ST
34264100UB,704926,,0,0,0,0,F,,223,223.0,Z001,Z6,0,0,1,,2000,,5300169759.0,0.0,1,42,10401000,ST
60096764,704507,,0,0,0,0,F,,206,206.0,Z001,Z7,15000,8371,100,,2000,,5300523405.0,0.0,1,70,530104000,ST
00380659,708008,,0,0,0,0,F,,703,703.0,Z008,Y2,890,20926,100,E11,2000,,5300138869.0,0.0,1,14,120000000,ST
80291804,702590,,0,0,0,0,F,,203,203.0,Z008,Y6,30,867,100,E11,2100,,5300075944.0,0.0,1,14,520100000,ST
00350091,700020,,0,0,0,0,F,,208,208.0,Z011,X4,620,110,100,E20,2100,,5300015154.0,0.0,1,13,140200000,ST
29241700UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z1,0,0,1,,3000,3000.0,5300265778.0,0.0,1,42,10403000,ST
36020473,1900,,0,0,0,0,F,,219,219.0,Z001,Z7,0,0,1,,2100,,5300140468.0,0.0,1,5,100202000,ST
37030118,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300292764.0,0.0,1,999,10304000,ST
31123203,2000,,0,0,0,0,F,40.0,233,233.0,Z012,Z1,0,0,1,,3000,3000.0,5300271472.0,0.0,1,28,60200000,ST
28149702UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z3,0,0,1,,3000,3000.0,5300263169.0,0.0,1,42,10401000,ST
00385874,703001,,0,0,0,0,F,,203,203.0,Z001,Y2,130,902,100,E11,3000,,5300134744.0,0.0,1,140,140100000,ST
00401734,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,1000,,3000,3000.0,5300217332.0,0.0,1,999,010303000,MM
34272201,700151,,0,0,0,0,F,,233,233.0,Z011,Y4,0,0,1,E13,2000,,5300076398.0,0.0,1,28,060100000,ST
60025852,701230,,0,0,0,0,F,,707,707.0,Z001,Z1,90,102,100,,2000,,5300376813.0,0.0,1,14,080600000,ST
00330275,702782,,0,0,0,0,F,,707,707.0,Z001,Z2,0,0,1,,2100,,5300008041.0,0.0,1,56,100202000,ST
00111304,700222,,0,0,0,0,F,,208,208.0,Z011,Y3,0,0,1,E11,2100,,5300158413.0,0.0,1,14,070900000,ST
34251101,700000,,0,0,0,0,F,,223,223.0,Z001,V3,0,0,1,E19,2100,,5300068034.0,0.0,1,28,010102000,ST
23276200,2000,,0,0,0,0,F,40.0,252,252.0,Z012,EX,0,0,1,,3000,3000.0,5300232237.0,0.0,1,365,550100000,ST
00394153,702303,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,2000,,5300168898.0,0.0,1,70,520300000,ST
04005158,701112,,0,0,0,0,F,,206,206.0,Z001,Z2,0,0,1000,,2100,,5300119995.0,0.0,1,14,140100000,ST
96080049,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,1,,2100,,5300047325.0,0.0,1,28,010102000,ST
00121064,705086,,0,0,0,0,F,,708,708.0,Z010,Y2,90,1435,1,E15,2100,,5300170741.0,0.0,1,42,070400000,ST
34633600UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z3,0,0,1,,3000,3000.0,5300281946.0,0.0,1,56,10402000,ST
23046100,700230,,0,0,0,0,F,,215,215.0,Z001,Y4,0,0,100,E14,2100,,5300145309.0,0.0,1,56,550100000,ST
60044351,715646,,0,0,0,0,F,,228,228.0,Z010,Y3,0,0,100,E11,2000,,5300505903.0,0.0,1,28,10102000,ST
24919806,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300255604.0,0.0,1,999,10102000,ST
60065135,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,1040,86326,1,,2100,,5300456031.0,0.0,1,42,010401000,ST
96192244,2000,,0,0,0,0,F,40.0,205,205.0,Z012,Z1,0,0,1,,3000,3000.0,5300316942.0,0.0,1,999,10401000,ST
31130702,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,30,663,1,,2000,,5300039799.0,0.0,1,28,010502000,ST
04005585,700418,,0,0,0,0,F,,278,278.0,Z012,Z7,170,5843,100,,3000,,5300114156.0,0.0,1,7,050000000,ST
04002259,702259,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2100,,5300106459.0,0.0,1,14,090300000,ST
01001801,2000,,0,0,0,0,F,40.0,996,998.0,Z012,EX,0,0,0,,3000,3000.0,5300220900.0,0.0,1,999,42,ST
