Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,Anomaly_Score
24044402,702225,,0,0,0,0,F,,213,213.0,Z008,Z1,30,4635,100,,3000,,5300454082.0,0.0,1,56,010102000,ST,0.24
80581309,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,100,,3000,3000.0,5300394286.0,0.0,1,999,520100000,ST,0.51
04007242,715932,,0,0,0,0,F,,998,998.0,Z001,Z1,0,0,100,,2100,,5300460485.0,0.0,1,999,140600000,ST,0.51
21296600UB,700000,,0,0,0,0,F,,723,723.0,Z001,X3,0,0,1,E20,2000,,5300196552.0,0.0,1,42,10401000,ST,0.4431415382862749
34186504,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2000,,5300048503.0,0.0,1,28,010304000,ST,0.88
04006130,702300,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300133358.0,0.0,1,70,550100000,ST,0.985
00270227,701348,,0,0,0,0,F,,206,206.0,Z002,Z7,26640,273639,1,,2000,,5300007989.0,0.0,1,14,131400000,ST,0.16416666666666666
04105186,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,1,E11,2000,,,,1,21,530800000,ST,0.05
30098700,1900,,0,0,0,0,F,,272,272.0,Z012,Z1,10,4513,1,,3000,,5300148662.0,0.0,1,33,010501000,ST,0.2625
60028579,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z5,20,18024,1,,3000,3000.0,5300380997.0,0.0,1,42,010401000,ST,0.27597222222222223
24618402,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,40,4428,100,,3000,3000.0,5300250115.0,0.0,1,999,060100000,ST,0.33
60047875,701314,,0,0,0,0,F,,233,233.0,Z011,Y3,0,0,100,E13,3000,,5300425180.0,0.0,1,56,060100000,ST,0.924
24705400UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z3,0,0,1,,3000,3000.0,5300251965.0,0.0,1,42,10401000,ST,0.4431415382862749
24721806,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Y2,0,0,1,E12,3000,3000.0,5300252194.0,0.0,1,999,10102000,ST,0.0
00340871,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,1,E11,2000,,5300381852.0,0.0,1,14,080600000,ST,0.015739130434782606
60038233,1000,,0,0,0,0,F,,991,991.0,Z012,Z1,0,0,1,,3000,,5300391418.0,0.0,1,3,120000000,ST,0.21328054279380915
23593501UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,1,,3000,3000.0,5300235374.0,0.0,1,42,10102000,ST,0.4431415382862749
60077896,715646,,0,0,0,0,F,,228,228.0,Z010,Y2,0,0,100,E11,3000,,5300503161.0,0.0,1,28,10102000,ST,0.36633333333333334
